
  chance level: 0.0909
  drop when the egg is REMOVED     : +63.23 points
  drop when only the egg is KEPT   : +19.19 points

=== reading ===
  Removing the egg hurts (0.3677 vs 1.0000) -- the egg matters.
  The egg alone is NOT sufficient (0.8081 vs 1.0000); context is
  doing part of the work.

                   class   normal   no egg  egg only
    Ascaris lumbricoides    1.000    0.000     0.977
Capillaria philippinensi    1.000    0.902     0.916
 Enterobius vermicularis    1.000    0.213     0.567
      Fasciolopsis buski    1.000    0.984     0.992
            Hookworm egg    1.000    1.000     0.579
    Hymenolepis diminuta    1.000    0.000     0.685
        Hymenolepis nana    1.000    0.074     1.000
  Opisthorchis viverrine    1.000    0.664     1.000
         Paragonimus spp    1.000    0.106     0.220
         Taenia spp. egg    1.000    0.008     1.000
     Trichuris trichiura    1.000    0.174     1.000
